"서비스 ID","서비스명","OPENAPI서비스명","요청주소","요청기본인자","기본샘플명","기본샘플주소","OPENAPI메타URL"
"OA-20883","서울시 공공와이파이 서비스 위치 정보","TbPublicWifiInfo","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo/요청위치(정수)/요청종료위치(정수)","서울시 공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo/1/5/","https://data.seoul.go.kr/dataList/datasetView.do?serviceKind=2&currentPageNo=1&srvType=A&infId="
"OA-20889","서울시 종로구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_JN","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_JN/요청위치(정수)/요청종료위치(정수)","종로구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_JN/1/5/","https://data.jongno.go.kr/openinf/openapiview.jsp?infId=OA-20889"
"OA-20890","서울시 중구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_JG","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_JG/요청위치(정수)/요청종료위치(정수)","중구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_JG/1/5/","https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-20890"
"OA-20891","서울시 용산구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_YS","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_YS/요청위치(정수)/요청종료위치(정수)","용산구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_YS/1/5/","https://data.yongsan.go.kr/openinf/openapiview.jsp?infId=OA-20891"
"OA-20892","서울시 성동구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_SD","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_SD/요청위치(정수)/요청종료위치(정수)","성동구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_SD/1/5/","https://data.sd.go.kr/openinf/openapiview.jsp?infId=OA-20892"
"OA-20893","서울시 광진구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GJ","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GJ/요청위치(정수)/요청종료위치(정수)","광진구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GJ/1/5/","https://data.gwangjin.go.kr/openinf/openapiview.jsp?infId=OA-20893"
"OA-20894","서울시 동대문구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_DD","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_DD/요청위치(정수)/요청종료위치(정수)","동대문구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_DD/1/5/","https://data.ddm.go.kr/openinf/openapiview.jsp?infId=OA-20894"
"OA-20895","서울시 중랑구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_JR","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_JR/요청위치(정수)/요청종료위치(정수)","중랑구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_JR/1/5/","https://data.jungnang.go.kr/openinf/openapiview.jsp?infId=OA-20895"
"OA-20896","서울시 성북구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_SB","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_SB/요청위치(정수)/요청종료위치(정수)","성북구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_SB/1/5/","https://data.sb.go.kr/openinf/openapiview.jsp?infId=OA-20896"
"OA-20897","서울시 강북구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GB","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GB/요청위치(정수)/요청종료위치(정수)","강북구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GB/1/5/","https://data.gangbuk.go.kr/openinf/openapiview.jsp?infId=OA-20897"
